draw,precip_scale,evap_scale,qin_scale,net_unresolved_m_per_day,weighted_MAE_m,skill_vs_frozen,final_level_m
112,1.3890694506878472,2.4542544634400936,0.7204078295754225,-0.00028411039489754616,0.2164847402200881,0.5710830655804306,1552.0871078957487
113,1.3850489009624205,2.1616103557640773,0.769471215678824,-0.0002413225535217932,0.4436447129718706,0.12101550406790584,1553.1786099891576
114,1.235260790930612,2.2525654957464307,0.724937027213135,-0.00025771975897458593,0.21376505530704595,0.5764715235119378,1552.1388731664133
115,1.2125006977481199,2.2416917198448933,0.682898486405513,-0.0002521900219742154,0.26669473238423214,0.47160300109929965,1552.0329263339202
116,1.1672009909502947,2.458021593106524,0.7058172175812083,-0.0002505503589789026,0.724303420866873,-0.4350480433493342,1551.1147875795966
117,1.3205779221404388,2.377232739195629,0.7146041854298898,-0.0002732449528325574,0.23840808807115235,0.5276467700570948,1552.056029688615
118,1.299527829560485,2.3656567814725196,0.6985243955283729,-0.0002563055729939713,0.26788647661846804,0.4692418218169123,1552.0011591416326
119,1.2184658463492,2.188879446416543,0.7654790155648104,-0.0002591492069627297,0.1571484854319456,0.6886448137100893,1552.330847813081
120,1.184228568835226,2.3024867153937656,0.8096121753073674,-0.0002878315358897512,0.3703786625723142,0.2661760807554786,1551.8116673560053
121,1.2238952726033476,2.0588276134924874,0.7653036627054621,-0.0002584978864782561,0.2331527903912385,0.5380589874172621,1552.804410696984
122,1.1776325871250823,2.4842538967526178,0.7610672309634594,-0.000290289995340864,0.7294335721282788,-0.4452123105855088,1551.095966779215
123,1.3747267324889116,2.3217306995234788,0.7017289747881243,-0.0002657955725807687,0.1544370733465099,0.6940168808518699,1552.477842444352
124,1.2858197737611685,2.1648915301094283,0.7289048795801706,-0.00027822824799731327,0.1803363990628241,0.64270305901629,1552.648742383137
125,1.2603485164632902,2.418500650793532,0.7238350686856391,-0.00023991541096661097,0.420253289696505,0.16736046839555496,1551.6916675952461
126,1.2627384617041022,2.047391402850843,0.6972709328834169,-0.00028969866366950137,0.282063672067328,0.44115282485384677,1552.9054855756533
127,1.201213993018511,2.483274009409084,0.7170887055178512,-0.0002594526642671329,0.684057095220944,-0.3553087942911608,1551.181496768521
128,1.2755508645437628,2.3531730501056907,0.745338863970072,-0.0002882266341882994,0.287720021053465,0.4299460124721767,1551.9626573381274
129,1.3549159636473826,2.4491958329123564,0.7300319531302681,-0.00026371938110272434,0.2655554581473455,0.47386022261362815,1551.985349443326
130,1.2954867492583848,2.227034407294587,0.7717981880532752,-0.0002836974231459585,0.15501790919109765,0.6928660822800707,1552.5211057083789
131,1.2752769274569469,2.079874679782557,0.7544585533141165,-0.00026540432212905136,0.3033159160125254,0.3990461742269077,1552.9381652134427
132,1.225738437737448,2.0924364501741435,0.7699860665267668,-0.00024912686494479484,0.19485572733677187,0.6139362010531753,1552.7108533448495
133,1.3520003362776316,2.32085174423896,0.7171381386567977,-0.00027119414813030413,0.1506110271191659,0.7015973505751011,1552.3937592150246
134,1.3915742790753238,2.1722000695486496,0.8331028711236028,-0.0002482518036838624,0.47767765642801124,0.053586706261454786,1553.2379675313714
135,1.392953121300165,2.168669809081845,0.8046700882587836,-0.0002608820892059233,0.4630766175955992,0.08251545573808017,1553.211032882952
136,1.279190262998888,2.1434380410261733,0.8319413612077445,-0.0002730904681839315,0.25347086668014135,0.4978031846928792,1552.8184080032877
137,1.1896642637421864,2.3470886839977196,0.8329056472339451,-0.00025934396203690276,0.40417115374213747,0.19922368630852816,1551.7359265973719
138,1.4051219073268026,2.093956699498377,0.7736329267724198,-0.00028567102686872576,0.585822033624255,-0.16067760952620502,1553.4626910117538
