date,evap_original_mm,evap_candidate_mm
2010-08-25,3.1746654686602684,3.00072342653133
2010-08-26,3.644612271140615,3.592735900505108
2010-08-27,3.684161374693669,3.4557248779662726
2010-08-28,3.394923050685005,3.1132545316148956
2010-08-29,3.571513880485122,3.396921206339596
2010-08-30,2.584535109380813,2.4004600704570733
2010-08-31,3.454990149835064,3.446890432532975
2010-09-01,3.260426025192284,3.143107132035528
2010-09-02,2.953530552814592,2.890887591188932
2010-09-03,1.8590878500358727,1.9023437606226934
2010-09-04,2.5254966959510616,2.5572515652052266
2010-09-05,3.2448377332444056,3.4287620267473837
2010-09-06,3.374911066764522,3.4011745967220577
2010-09-07,3.248879470340077,3.2473242269138325
2010-09-08,3.5879413611662936,3.570900693117489
2010-09-09,4.053632270282783,3.9314413493342526
2010-09-10,4.112472039636218,4.013584688557144
2010-09-11,3.834663550840694,3.613245396070553
2010-09-12,3.3895126328281227,3.267146655347836
2010-09-13,3.771583969013104,3.3592611888904456
2010-09-14,3.8341221792581854,3.547934166285196
2010-09-15,3.6551822536013145,3.656886056668305
2010-09-16,3.613980150722466,3.6326998282759697
2010-09-17,3.976971007672684,3.806765274361015
2010-09-18,3.6766751626215712,3.5398926729913227
2010-09-19,3.5058461044999687,3.457368037072756
2010-09-20,3.636272599374297,3.493337186916443
2010-09-21,3.344241623953624,3.158662540971897
2010-09-22,3.8541919706743935,3.7503721509413475
2010-09-23,3.31547704731365,3.129505047313415
2010-09-24,2.980369427536916,2.8094522441285954
2010-09-25,2.133653561487206,1.879360960488543
2010-09-26,2.701772651659072,2.4261938817078854
2010-09-27,3.3420101287383366,2.924732082925445
2010-09-28,2.190681310182064,2.0956213555741456
2010-09-29,2.159724907396844,2.2408509912175427
2010-09-30,2.4628141163297217,2.6244687095370995
2010-10-01,2.604148645388477,2.7143777117140564
2010-10-02,2.373674025800635,2.2838872654878237
2010-10-03,2.586769115812374,2.393948780332719
2010-10-04,3.964003080447839,3.3935505261828944
2010-10-05,4.35353636000414,3.5569098160265162
2010-10-06,3.736802842468024,3.260038450984401
2010-10-07,4.698096335215388,3.9274317276397936
2010-10-08,4.108777642729301,3.5478978505169985
2010-10-09,4.006007511334855,3.6313414363445067
2010-10-10,4.030558811804188,3.6932207992368693
2010-10-11,4.328522072405288,3.9092335800860543
2010-10-12,3.9761326176723015,3.6710601338235054
2010-10-13,3.658488475898118,3.349870811396564
2010-10-14,3.492783678385652,3.1242759370495916
2010-10-15,3.817073769202875,3.372110434734493
2010-10-16,3.943441704068953,3.432916214615849
2010-10-17,3.693462216086033,3.3828440238204367
2010-10-18,3.023844984668351,2.885002819742846
2010-10-19,3.340184845119766,3.3376712206932786
2010-10-20,3.7366837394099504,3.600688439573482
2010-10-21,4.091405091682644,3.8194032060722987
2010-10-22,4.04968191701823,3.6626528943729615
2010-10-23,4.343499165143352,3.8123758374989865
2010-10-24,3.25309422576407,3.003656295819381
2010-10-25,3.334282339897205,3.193082158823187
2010-10-26,3.481024734062457,3.3219562302051497
2010-10-27,3.645136760704309,3.5090858510281104
2010-10-28,3.639980780015066,3.314924046921142
2010-10-29,3.6504158644743687,3.0492090748785494
2010-10-30,4.125411682131206,3.4403163684830265
2010-10-31,3.989103073685543,3.199543592763899
2010-11-01,3.9342838957726856,3.5159914894414954
2010-11-02,3.611401838488481,3.4515572971793116
2010-11-03,3.379044581466637,3.1495610431719623
