model,variable,quantile,obs_value,cmip_value,difference,relative_difference_pct
CNRM-CM6-1,tas,0.9,17.407313362279044,19.132555768789512,1.7252424065104677,9.91102056132912
CNRM-CM6-1,tas,0.95,17.745614703974663,19.688663545202058,1.9430488412273945,10.949459196768148
CNRM-CM6-1,tas,0.99,18.484926735967406,20.877703210382535,2.392776474415129,12.944473670860365
CNRM-CM6-1,tasmin,0.01,9.542661946133531,5.226985867192859,-4.3156760789406725,-45.22507559527754
CNRM-CM6-1,tasmin,0.05,10.947149455496104,7.805699157714867,-3.1414502977812377,-28.696514198077814
CNRM-CM6-1,tasmin,0.1,11.58470564339559,9.017209979614947,-2.567495663780644,-22.162804501160256
CNRM-CM6-1,tasmin,0.25,12.685621447575494,10.741243773079983,-1.9443776744955112,-15.32741365908507
CNRM-CM6-1,tasmin,0.5,13.742193880351806,12.396776193087241,-1.3454176872645647,-9.79041409965991
CNRM-CM6-1,tasmin,0.75,14.416768534718585,13.446620653496437,-0.9701478812221485,-6.729301915930952
CNRM-CM6-1,tasmin,0.9,14.858966332105167,14.164804577436625,-0.6941617546685421,-4.671669207357277
CNRM-CM6-1,tasmin,0.95,15.083673829122157,14.609344073853228,-0.4743297552689292,-3.14465667079818
CNRM-CM6-1,tasmin,0.99,15.500298562545993,15.473129412541649,-0.027169150004343834,-0.17528146244868964
CNRM-CM6-1,tasmax,0.01,17.143873053540084,19.070223380333765,1.9263503267936812,11.23637768885546
CNRM-CM6-1,tasmax,0.05,18.276754090956164,20.220997744700966,1.9442436537448025,10.637795114324307
CNRM-CM6-1,tasmax,0.1,18.767814756936303,20.776379978200797,2.0085652212644938,10.702179488009694
CNRM-CM6-1,tasmax,0.25,19.459682347173867,21.693109881291644,2.2334275341177765,11.477204479867256
CNRM-CM6-1,tasmax,0.5,20.219715939076544,22.82017048486597,2.6004545457894253,12.860984563901797
CNRM-CM6-1,tasmax,0.75,21.15149426054363,24.045114219123572,2.8936199585799436,13.680451711526374
CNRM-CM6-1,tasmax,0.9,22.202173256976607,25.41153174228358,3.2093584853069714,14.455154674097017
CNRM-CM6-1,tasmax,0.95,22.940708978444693,26.366128656772993,3.4254196783283,14.931620821077747
CNRM-CM6-1,tasmax,0.99,24.19964496694552,28.236858635574112,4.037213668628592,16.682945861987037
CNRM-CM6-1,rh,0.01,54.24143437771188,56.662569349111756,2.421134971399873,4.4636263756231545
CNRM-CM6-1,rh,0.05,60.72498947629099,63.02685106725641,2.301861590965416,3.7906331657153065
CNRM-CM6-1,rh,0.1,64.51737287922357,67.28946617835206,2.7720932991284855,4.296661775608626
CNRM-CM6-1,rh,0.25,71.44038562554204,74.07662780428194,2.6362421787399057,3.6901287075323004
CNRM-CM6-1,rh,0.5,79.06523449541791,84.22062512173679,5.1553906263188765,6.520426656823042
CNRM-CM6-1,rh,0.75,86.61181384245056,88.7637185164488,2.1519046739982457,2.484539439287836
CNRM-CM6-1,rh,0.9,91.60414646206316,91.21101242232191,-0.3931340397412413,-0.4291662058158616
CNRM-CM6-1,rh,0.95,93.54094944239945,92.90672147365217,-0.6342279687472825,-0.6780217354302425
