model,variable,quantile,obs_value,cmip_value,difference,relative_difference_pct
ACCESS-CM2,wind,0.01,0.12362079876653172,1.1496522119527308,1.0260314131861992,829.9828373734632
ACCESS-CM2,wind,0.05,0.21661594904492043,1.388928507944274,1.1723125588993535,541.1940182928298
ACCESS-CM2,wind,0.1,0.28935312804449365,1.534827906903022,1.2454747788585283,430.4341851341633
ACCESS-CM2,wind,0.25,0.4523419982740058,1.8619403738141709,1.409598375540165,311.62226388855055
ACCESS-CM2,wind,0.5,0.7499348093163911,2.3751441989440085,1.6252093896276174,216.7134222118706
ACCESS-CM2,wind,0.75,1.1569305560826137,3.274237928169021,2.1173073720864073,183.0107572969328
ACCESS-CM2,wind,0.9,1.5341475522071901,4.658915814154787,3.1247682619475965,203.6810773156707
ACCESS-CM2,wind,0.95,1.7712679477171462,5.622112815627635,3.8508448679104887,217.40611706283923
ACCESS-CM2,wind,0.99,2.290385645051189,7.232883200801787,4.942497555750598,215.7932471516226
ACCESS-ESM1-5,precip_consensus,0.01,0.001364441540446398,0.0,-0.001364441540446398,-100.0
ACCESS-ESM1-5,precip_consensus,0.05,0.020303170461220998,0.0,-0.020303170461220998,-99.99999999999999
ACCESS-ESM1-5,precip_consensus,0.1,0.06654387951424576,0.0,-0.06654387951424576,-100.0
ACCESS-ESM1-5,precip_consensus,0.25,0.36593424518266227,0.2552059752770965,-0.11072826990556578,-30.25906193892673
ACCESS-ESM1-5,precip_consensus,0.5,2.2381017066336617,2.723026763815738,0.48492505718207646,21.666801635724333
ACCESS-ESM1-5,precip_consensus,0.75,8.251458253782918,11.08919398479362,2.837735731010703,34.390717903829064
ACCESS-ESM1-5,precip_consensus,0.9,14.360511428963337,18.816439797414745,4.455928368451408,31.029036747704986
ACCESS-ESM1-5,precip_consensus,0.95,18.3865296573891,23.423455860618436,5.036926203229335,27.39465411410639
ACCESS-ESM1-5,precip_consensus,0.99,27.626554028149616,33.33163052969841,5.705076501548792,20.650698946150502
ACCESS-ESM1-5,tas,0.01,13.562005271069761,13.658249141505532,0.09624387043577087,0.7096581111133813
ACCESS-ESM1-5,tas,0.05,14.648812302124492,15.232181720004077,0.5833694178795845,3.982366664599692
ACCESS-ESM1-5,tas,0.1,15.102207967988353,15.85092254805437,0.748714580066018,4.957649779774211
ACCESS-ESM1-5,tas,0.25,15.737775453943096,16.77934626178014,1.0415708078370454,6.6182848451817256
ACCESS-ESM1-5,tas,0.5,16.308847934518468,17.54707459830198,1.2382266637835109,7.592361328985992
ACCESS-ESM1-5,tas,0.75,16.865925052617698,18.151374925290323,1.2854498726726256,7.621579419227383
ACCESS-ESM1-5,tas,0.9,17.407313362279044,18.706034525886935,1.2987211636078904,7.4607789069976045
ACCESS-ESM1-5,tas,0.95,17.745614703974663,19.124879739063058,1.3792650350883946,7.772427487561007
ACCESS-ESM1-5,tas,0.99,18.484926735967406,19.94166294785799,1.4567362118905827,7.880670736206436
ACCESS-ESM1-5,tasmin,0.01,9.542661946133531,7.044453433511058,-2.4982085126224733,-26.179367211417254
ACCESS-ESM1-5,tasmin,0.05,10.947149455496104,8.903907083813632,-2.0432423716824726,-18.664606526008892
ACCESS-ESM1-5,tasmin,0.1,11.58470564339559,9.66329487451441,-1.9214107688811808,-16.585753907148877
ACCESS-ESM1-5,tasmin,0.25,12.685621447575494,10.878891433132175,-1.8067300144433194,-14.242345334911644
ACCESS-ESM1-5,tasmin,0.5,13.742193880351806,12.276816679740886,-1.46537720061092,-10.663342500982132
ACCESS-ESM1-5,tasmin,0.75,14.416768534718585,13.206488587426382,-1.2102799472922037,-8.394946096121313
ACCESS-ESM1-5,tasmin,0.9,14.858966332105167,13.84421119898397,-1.0147551331211968,-6.829244447028974
ACCESS-ESM1-5,tasmin,0.95,15.083673829122157,14.127327940893977,-0.9563458882281797,-6.340271601350566
ACCESS-ESM1-5,tasmin,0.99,15.500298562545993,14.674757496984954,-0.8255410655610387,-5.325968801374107
ACCESS-ESM1-5,tasmax,0.01,17.143873053540084,19.07866118050666,1.934788126966577,11.285595273158288
ACCESS-ESM1-5,tasmax,0.05,18.276754090956164,20.30435823534358,2.0276041443874178,11.09389629196101
ACCESS-ESM1-5,tasmax,0.1,18.767814756936303,20.859933505032256,2.0921187480959524,11.147375308160141
