model,scenario,horizon,level_mean_m,level_end_m,change_mean_vs_anchor_m,change_end_vs_anchor_m,cum_P_end_m,cum_E_end_m,cum_Q_end_m,cum_S_end_m
GISS-E2-1-G,ssp585,2030,1552.2954856081076,1552.451558908114,-0.47451439189239863,-0.31844109188591574,-0.07510764419494068,0.1336110021801851,-0.509361562273011,0.13241711240192763
GISS-E2-1-G,ssp585,2050,1548.1447400878528,1548.4846793177078,-4.625259912147158,-4.285320682292195,-2.1552563290223756,1.0435418955449045,-3.306023361216697,0.13241711240194207
GISS-E2-1-G,ssp585,2090,1530.1243554409712,1529.7183456548257,-22.645644559028824,-23.051654345174256,-16.561465574617348,4.357131099619516,-10.979736982578553,0.13241711240197093
HadGEM3-GC31-LL,ssp245,2030,1552.3486100310727,1552.2256218011123,-0.42138996892731484,-0.5443781988876708,-0.047905232847730954,0.013531217819293805,-0.6424212962611676,0.13241711240192763
HadGEM3-GC31-LL,ssp245,2050,1545.4089042039072,1545.5383283992287,-7.361095796092741,-7.2316716007712785,-3.1982212709982174,-0.07474432494439394,-4.0911231172305005,0.13241711240194207
HadGEM3-GC31-LL,ssp245,2090,1531.2192624888557,1531.264794687348,-21.550737511144234,-21.505205312651924,-9.424155499994017,-0.44033788894759324,-11.773129036112723,0.13241711240197093
HadGEM3-GC31-LL,ssp585,2030,1551.9487402450848,1552.0689302686285,-0.8212597549152179,-0.70106973137149,-0.010479942560527034,-0.10047268825089356,-0.7225342129618973,0.13241711240192763
HadGEM3-GC31-LL,ssp585,2050,1544.199395217666,1543.7996632788759,-8.57060478233393,-8.970336721124113,-3.9310508414926915,-0.6083263181321472,-4.563376673901345,0.13241711240194207
HadGEM3-GC31-LL,ssp585,2090,1517.7236153259653,1517.3688169313873,-35.0463846740347,-35.40118306861268,-21.705215459736365,0.20275695499429713,-14.031141676273208,0.13241711240197093
IPSL-CM6A-LR,ssp245,2030,1551.6923308722664,1551.477350257227,-1.077669127733543,-1.2926497427729373,-0.7489380021126719,-0.02754490090556929,-0.6485839521565132,0.13241711240192763
IPSL-CM6A-LR,ssp245,2050,1542.2944116376405,1542.0515449396596,-10.475588362359531,-10.718455060340375,-6.5955998851706985,0.009814270035150806,-4.265086557606874,0.13241711240194207
IPSL-CM6A-LR,ssp245,2090,1514.3615550127636,1514.2237434267222,-38.40844498723641,-38.54625657327779,-25.76516483196343,-0.32852937133786253,-12.584979482378392,0.13241711240197093
IPSL-CM6A-LR,ssp585,2030,1551.053217152524,1551.0647412886176,-1.7167828474759972,-1.7052587113823847,-1.0806103922709225,-0.010596117305313842,-0.74646931420799,0.13241711240192763
IPSL-CM6A-LR,ssp585,2050,1540.2342509904165,1540.0219210820878,-12.53574900958347,-12.748078917912153,-7.9595173619149096,-0.33735104369182906,-4.583627624707512,0.13241711240194207
IPSL-CM6A-LR,ssp585,2090,1498.4007915403934,1497.970947284205,-54.369208459606625,-54.799052715794915,-40.69924125446075,0.08659037277772945,-14.318818946513382,0.13241711240197093
MIROC6,ssp245,2030,1552.4256581117374,1552.667468775135,-0.34434188826253376,-0.10253122486506072,0.01766387964498858,0.14976907067263692,-0.4023812875846883,0.13241711240192763
MIROC6,ssp245,2050,1551.1976832888122,1551.3028072918776,-1.5723167111877956,-1.4671927081224112,0.5652771773836862,0.8888045834865909,-3.053691581394623,0.13241711240194207
MIROC6,ssp245,2090,1547.7360816407738,1547.864424775081,-5.033918359226163,-4.905575224918948,1.5261367855556176,2.2462588729611443,-8.810387995837685,0.13241711240197093
MIROC6,ssp585,2030,1551.2954420884262,1551.7014203921567,-1.474557911573811,-1.0685796078432759,-0.6004041477836514,0.08084148465767454,-0.6814340571192936,0.13241711240192763
